Timestamp,Direction,Status,Source,Destination,Command,Length,Crc,Data
2019-04-11T18:08:08.741,Received,Valid,0x80,0xBF,0xF2,0x15,0x6C8D,0x04600000600300600200600100
2019-04-11T18:08:08.801,Received,Valid,0xBF,0x80,0xF2,0x11,0x6E21,0x046000600360026001
2019-04-11T18:08:08.921,Received,Valid,0xBF,0x80,0xF5,0x5C,0xE6A9,0x04600006D828C908562260030100600220425347594656575700000000000000000000000000000000000000000000000060012047455F4D4F44554C455F35363232000000000000000000000000000000000000
2019-04-11T18:08:08.932,Received,Valid,0x80,0xBF,0xF5,0x08,0x82ED,
2019-04-11T18:08:38.731,Received,Valid,0x80,0xBF,0xF2,0x15,0x6C8D,0x04600000600300600200600100
2019-04-11T18:08:38.781,Received,Valid,0xBF,0x80,0xF2,0x11,0x6E21,0x046000600360026001
2019-04-11T18:08:38.921,Received,Valid,0xBF,0x80,0xF5,0x5C,0xE6A9,0x04600006D828C908562260030100600220425347594656575700000000000000000000000000000000000000000000000060012047455F4D4F44554C455F35363232000000000000000000000000000000000000
2019-04-11T18:08:38.931,Received,Valid,0x80,0xBF,0xF5,0x08,0x82ED,
2019-04-11T18:08:39.241,Received,Valid,0x80,0xBC,0xF2,0x18,0xA8EA,0x05620000620100620200620300620400
2019-04-11T18:08:39.361,Received,Valid,0xBC,0x80,0xF2,0x13,0xE903,0x0562006201620262036204
2019-04-11T18:08:39.581,Received,Valid,0xBC,0x80,0xF5,0x2C,0xD1C4,0x056200040000000062010400000000620204000000006203040000000062040400000000
2019-04-11T18:08:39.591,Received,Valid,0x80,0xBC,0xF5,0x08,0x1931,
2019-04-11T18:09:01.503,Sent,Acknowledged,0xE4,0x80,0xF0,0x0F,0xAA93,0x03FFF0FFF1FFF2
2019-04-11T18:09:01.623,Received,Valid,0x80,0xE4,0xF0,0xD2,0x35B4,0x03FFF0400020053800000000000000000000000E0000000100000000001D4102000000000000000000000000000000000000000000000000000000010000000100000000FFF140002009EF00000000000000000000000C0000000100000000001D4696000000000000000000000000000000000000000000000000000000010000000100000000FFF240001EFF650000000000000000000000090000000100000000001D26DB000000000000000000000000000000000000000000000000000000010000000100000000
2019-04-11T18:09:04.650,Received,Valid,0xBC,0x80,0xF2,0x12,0xB4F8,0x03F33300F31300F33600
2019-04-11T18:09:04.670,Received,Valid,0x80,0xBC,0xF2,0x0F,0xC63E,0x03F333F313F336
2019-04-11T18:09:04.730,Received,Valid,0x80,0xBC,0xF5,0x1A,0x9845,0x03F3330101F3130100F33606000000000000
2019-04-11T18:09:04.840,Received,Valid,0xBC,0x80,0xF1,0x0D,0x1344,0x01F3380101
2019-04-11T18:09:04.860,Received,Valid,0x80,0xBC,0xF1,0x0B,0x29BE,0x01F338
2019-04-11T18:09:04.980,Received,Valid,0xBC,0x80,0xF5,0x08,0x3A12,
2019-04-11T18:09:05.110,Received,Valid,0xBC,0x80,0xF1,0x09,0x3F69,0x00
2019-04-11T18:09:08.716,Received,Valid,0x80,0xBF,0xF2,0x15,0x6C8D,0x04600000600300600200600100
2019-04-11T18:09:08.776,Received,Valid,0xBF,0x80,0xF2,0x11,0x6E21,0x046000600360026001
2019-04-11T18:09:08.937,Received,Valid,0xBF,0x80,0xF5,0x5C,0xE6A9,0x04600006D828C908562260030100600220425347594656575700000000000000000000000000000000000000000000000060012047455F4D4F44554C455F35363232000000000000000000000000000000000000
2019-04-11T18:09:08.947,Received,Valid,0x80,0xBF,0xF5,0x08,0x82ED,
2019-04-11T18:09:38.703,Received,Valid,0x80,0xBF,0xF2,0x15,0x6C8D,0x04600000600300600200600100
2019-04-11T18:09:38.763,Received,Valid,0xBF,0x80,0xF2,0x11,0x6E21,0x046000600360026001
2019-04-11T18:09:38.943,Received,Valid,0xBF,0x80,0xF5,0x5C,0xE6A9,0x04600006D828C908562260030100600220425347594656575700000000000000000000000000000000000000000000000060012047455F4D4F44554C455F35363232000000000000000000000000000000000000
2019-04-11T18:09:38.955,Received,Valid,0x80,0xBF,0xF5,0x08,0x82ED,
2019-04-11T18:09:39.225,Received,Valid,0x80,0xBC,0xF2,0x18,0xA8EA,0x05620000620100620200620300620400
2019-04-11T18:09:39.345,Received,Valid,0xBC,0x80,0xF2,0x13,0xE903,0x0562006201620262036204
