Timestamp,Direction,Status,Source,Destination,Command,Length,Crc,Data
2019-04-11T13:33:44.104,Received,Valid,0x80,0xBC,0xF5,0x08,0x1931,
2019-04-11T13:33:47.242,Sent,Acknowledged,0xE4,0x80,0xF0,0x0F,0xAA93,0x03FFF0FFF1FFF2
2019-04-11T13:33:47.362,Received,Valid,0x80,0xE4,0xF0,0xD2,0x8DC2,0x03FFF040001A357000000000000000000000000A00000001000000000017F1A7000000000000000000000000000000000000000000000000000000010000000100000000FFF140001A390E00000000000000000000000900000001000000000017F5F2000000000000000000000000000000000000000000000000000000010000000100000000FFF2400019578A00000000000000000000000500000001000000000017DC27000000000000000000000000000000000000000000000000000000010000000100000000
2019-04-11T13:33:47.965,Received,Valid,0x80,0xE4,0xF0,0xD2,0x3F17,0x03FFF040001A357000000000000000000000000A00000001000000000017F1A7000000000000000000000000000000000000000000000000000000010000000100000000FFF140001A390E00000000000000000000000900000001000000000017F5F2000000000000000000000000000000000000000000000000000000010000000100000000FFF240001957A000000000000000000000000500000001000000000017DC3C000000000000000000000000000000000000000000000000000000010000000100000000
2019-04-11T13:34:03.241,Received,Valid,0xBC,0x80,0xF2,0x12,0xB4F8,0x03F33300F31300F33600
2019-04-11T13:34:03.261,Received,Valid,0x80,0xBC,0xF2,0x0F,0xC63E,0x03F333F313F336
2019-04-11T13:34:03.962,Received,Valid,0xBC,0x80,0xF1,0x0D,0x1344,0x01F3380101
2019-04-11T13:34:04.642,Received,Valid,0x80,0xBC,0xF1,0x0B,0x29BE,0x01F338
2019-04-11T13:34:05.224,Received,Valid,0xBC,0x80,0xF5,0x08,0x3A12,
2019-04-11T13:34:05.894,Received,Valid,0xBC,0x80,0xF1,0x09,0x3F69,0x00
2019-04-11T13:34:12.295,Received,Valid,0x80,0xBF,0xF2,0x15,0x6C8D,0x04600000600300600200600100
2019-04-11T13:34:12.355,Received,Valid,0xBF,0x80,0xF2,0x11,0x6E21,0x046000600360026001
2019-04-11T13:34:13.008,Received,Valid,0xBF,0x80,0xF5,0x5C,0xE6A9,0x04600006D828C908562260030100600220425347594656575700000000000000000000000000000000000000000000000060012047455F4D4F44554C455F35363232000000000000000000000000000000000000
2019-04-11T13:34:13.688,Received,Valid,0x80,0xBF,0xF5,0x08,0x82ED,
2019-04-11T13:34:42.295,Received,Valid,0x80,0xBF,0xF2,0x15,0x6C8D,0x04600000600300600200600100
2019-04-11T13:34:42.345,Received,Valid,0xBF,0x80,0xF2,0x11,0x6E21,0x046000600360026001
2019-04-11T13:34:43.007,Received,Valid,0x80,0xBF,0xF5,0x08,0x82ED,
2019-04-11T13:34:43.697,Received,Valid,0xBC,0x80,0xF5,0x2C,0xD1C4,0x056200040000000062010400000000620204000000006203040000000062040400000000
2019-04-11T13:34:44.377,Received,Valid,0x80,0xBC,0xF5,0x08,0x1931,
2019-04-11T13:34:47.243,Sent,Acknowledged,0xE4,0x80,0xF0,0x0F,0xAA93,0x03FFF0FFF1FFF2
2019-04-11T13:34:47.373,Received,Valid,0x80,0xE4,0xF0,0xD2,0x7A58,0x03FFF040001A3AD700000000000000000000000A00000001000000000017F697000000000000000000000000000000000000000000000000000000010000000100000000FFF140001A3E7700000000000000000000000900000001000000000017FAE3000000000000000000000000000000000000000000000000000000010000000100000000FFF24000195CB600000000000000000000000500000001000000000017E113000000000000000000000000000000000000000000000000000000010000000100000000
2019-04-11T13:34:48.165,Received,Valid,0x80,0xE4,0xF0,0xD2,0x3EF0,0x03FFF040001A3AD700000000000000000000000A00000001000000000017F697000000000000000000000000000000000000000000000000000000010000000100000000FFF140001A3E7700000000000000000000000900000001000000000017FAE3000000000000000000000000000000000000000000000000000000010000000100000000FFF24000195CCD00000000000000000000000500000001000000000017E128000000000000000000000000000000000000000000000000000000010000000100000000
2019-04-11T13:35:03.240,Received,Valid,0xBC,0x80,0xF2,0x12,0xB4F8,0x03F33300F31300F33600
2019-04-11T13:35:03.260,Received,Valid,0x80,0xBC,0xF2,0x0F,0xC63E,0x03F333F313F336
2019-04-11T13:35:03.820,Received,Valid,0x80,0xBC,0xF5,0x1A,0x9845,0x03F3330101F3130100F33606000000000000
2019-04-11T13:35:04.331,Received,Valid,0xBC,0x80,0xF1,0x09,0x3F69,0x00
2019-04-11T13:35:04.841,Received,Valid,0xBC,0x80,0xF5,0x08,0x3A12,
2019-04-11T13:35:12.291,Received,Valid,0x80,0xBF,0xF2,0x15,0x6C8D,0x04600000600300600200600100
2019-04-11T13:35:12.344,Received,Valid,0xBF,0x80,0xF2,0x11,0x6E21,0x046000600360026001
2019-04-11T13:35:13.015,Received,Valid,0xBF,0x80,0xF5,0x5C,0xE6A9,0x04600006D828C908562260030100600220425347594656575700000000000000000000000000000000000000000000000060012047455F4D4F44554C455F35363232000000000000000000000000000000000000
2019-04-11T13:35:13.696,Received,Valid,0x80,0xBF,0xF5,0x08,0x82ED,
2019-04-11T13:35:42.280,Received,Valid,0x80,0xBF,0xF2,0x15,0x6C8D,0x04600000600300600200600100
2019-04-11T13:35:42.340,Received,Valid,0xBF,0x80,0xF2,0x11,0x6E21,0x046000600360026001
